iter = 3,step = 160, loss = 1.500524, accuracy = 0.960938 
iter = 3,step = 170, loss = 1.507984, accuracy = 0.953125 
iter = 3,step = 180, loss = 1.498382, accuracy = 0.960938 
iter = 3,step = 190, loss = 1.530579, accuracy = 0.929688 
iter = 3,step = 200, loss = 1.504287, accuracy = 0.960938 
iter = 3,step = 210, loss = 1.492973, accuracy = 0.968750 
iter = 3,step = 220, loss = 1.511075, accuracy = 0.945312 
iter = 3,step = 230, loss = 1.507900, accuracy = 0.953125 
iter = 3,step = 240, loss = 1.476846, accuracy = 0.984375 
iter = 3,step = 250, loss = 1.513232, accuracy = 0.945312 
iter = 3,step = 260, loss = 1.488254, accuracy = 0.968750 
iter = 3,step = 270, loss = 1.529807, accuracy = 0.937500 
iter = 3,step = 280, loss = 1.477205, accuracy = 0.984375 
iter = 3,step = 290, loss = 1.505360, accuracy = 0.953125 
iter = 3,step = 300, loss = 1.486797, accuracy = 0.976562 
iter = 3,step = 310, loss = 1.481145, accuracy = 0.976562 
iter = 3,step = 320, loss = 1.484691, accuracy = 0.976562 
iter = 3,step = 330, loss = 1.520448, accuracy = 0.937500 
iter = 3,step = 340, loss = 1.492317, accuracy = 0.968750 
iter = 3,step = 350, loss = 1.520144, accuracy = 0.937500 
iter = 3,step = 360, loss = 1.492185, accuracy = 0.968750 
iter = 3,step = 370, loss = 1.492907, accuracy = 0.968750 
iter = 3,step = 380, loss = 1.495556, accuracy = 0.968750 
iter = 3,step = 390, loss = 1.499079, accuracy = 0.960938 
iter = 3,step = 400, loss = 1.518984, accuracy = 0.937500 
iter = 3,step = 410, loss = 1.492316, accuracy = 0.968750 
iter = 3,step = 420, loss = 1.492154, accuracy = 0.968750 
iter = 4,step = 0, loss = 1.493928, accuracy = 0.968750 
iter = 4,step = 10, loss = 1.484418, accuracy = 0.976562 
iter = 4,step = 20, loss = 1.492452, accuracy = 0.968750 
iter = 4,step = 30, loss = 1.520375, accuracy = 0.945312 
iter = 4,step = 40, loss = 1.536124, accuracy = 0.921875 
iter = 4,step = 50, loss = 1.486786, accuracy = 0.976562 
iter = 4,step = 60, loss = 1.488555, accuracy = 0.976562 
iter = 4,step = 70, loss = 1.499450, accuracy = 0.960938 
iter = 4,step = 80, loss = 1.522222, accuracy = 0.937500 
